Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Format,Category,Type
HP Tillakaratne (SL),1989-2004,83,141,124,122,2,33,89,5 (5ct 0st),0.879,TEST,Fielding,Fielding
GS Chappell (AUS),1970-1984,87,165,122,122,0,0,122,4 (4ct 0st),0.7390000000000001,TEST,Fielding,Fielding
IVA Richards (WI),1974-1991,121,232,122,122,0,0,122,4 (4ct 0st),0.525,TEST,Fielding,Fielding
AJ Strauss (ENG),2004-2012,100,189,121,121,0,0,121,3 (3ct 0st),0.64,TEST,Fielding,Fielding
IT Botham (ENG),1977-1992,102,179,120,120,0,0,120,3 (3ct 0st),0.67,TEST,Fielding,Fielding
MC Cowdrey (ENG),1954-1975,114,214,120,120,0,0,120,3 (3ct 0st),0.56,TEST,Fielding,Fielding
RS Kaluwitharana (SL),1992-2004,49,87,119,93,26,93,0,5 (5ct 0st),1.367,TEST,Fielding,Fielding
Mushfiqur Rahim (BDESH),2005-2019,69,118,118,103,15,98,5,5 (5ct 0st),1.0,TEST,Fielding,Fielding
SPD Smith (AUS),2010-2019,72,137,117,117,0,0,117,5 (5ct 0st),0.8540000000000001,TEST,Fielding,Fielding
CL Hooper (WI),1987-2002,102,189,115,115,0,0,115,4 (4ct 0st),0.608,TEST,Fielding,Fielding
SR Tendulkar (INDIA),1989-2013,200,366,115,115,0,0,115,3 (3ct 0st),0.314,TEST,Fielding,Fielding
JM Parks (ENG),1954-1968,46,86,114,103,11,101,2,5 (5ct 0st),1.325,TEST,Fielding,Fielding
SR Waugh (AUS),1985-2004,168,318,112,112,0,0,112,3 (3ct 0st),0.352,TEST,Fielding,Fielding
WR Hammond (ENG),1927-1947,85,154,110,110,0,0,110,3 (3ct 0st),0.7140000000000001,TEST,Fielding,Fielding
JE Root (ENG),2012-2019,89,168,110,110,0,0,110,4 (4ct 0st),0.654,TEST,Fielding,Fielding
RB Simpson (AUS),1957-1978,62,117,110,110,0,0,110,4 (4ct 0st),0.94,TEST,Fielding,Fielding
GS Sobers (WI),1954-1974,93,172,109,109,0,0,109,4 (4ct 0st),0.633,TEST,Fielding,Fielding
HM Amla (SA),2004-2019,124,234,108,108,0,0,108,3 (3ct 0st),0.461,TEST,Fielding,Fielding
SM Gavaskar (INDIA),1971-1987,125,216,108,108,0,0,108,3 (3ct 0st),0.5,TEST,Fielding,Fielding
NR Mongia (INDIA),1994-2001,44,77,107,99,8,99,0,5 (5ct 0st),1.389,TEST,Fielding,Fielding
M Azharuddin (INDIA),1984-2000,99,177,105,105,0,0,105,5 (5ct 0st),0.593,TEST,Fielding,Fielding
IM Chappell (AUS),1964-1980,75,144,105,105,0,0,105,4 (4ct 0st),0.7290000000000001,TEST,Fielding,Fielding
GP Thorpe (ENG),1993-2005,100,179,105,105,0,0,105,4 (4ct 0st),0.586,TEST,Fielding,Fielding
Saleem Yousuf (PAK),1982-1990,32,58,104,91,13,91,0,5 (5ct 0st),1.793,TEST,Fielding,Fielding
GA Gooch (ENG),1975-1995,118,211,103,103,0,0,103,3 (3ct 0st),0.488,TEST,Fielding,Fielding
WP Saha (INDIA),2010-2019,37,71,103,92,11,92,0,6 (5ct 1st),1.45,TEST,Fielding,Fielding
JR Murray (WI),1993-2002,33,61,102,99,3,98,1,5 (5ct 0st),1.672,TEST,Fielding,Fielding
N Dickwella (SL),2014-2019,35,63,101,81,20,80,1,5 (5ct 0st),1.6030000000000002,TEST,Fielding,Fielding
IR Bell (ENG),2004-2015,118,223,100,100,0,0,100,3 (3ct 0st),0.4479999999999999,TEST,Fielding,Fielding
DC Boon (AUS),1984-1996,107,195,99,99,0,0,99,4 (4ct 0st),0.507,TEST,Fielding,Fielding
GRA Langley (AUS),1951-1956,26,51,98,83,15,83,0,5 (5ct 0st),1.921,TEST,Fielding,Fielding
LEG Ames (ENG),1929-1939,47,87,97,74,23,72,2,4 (4ct 0st),1.114,TEST,Fielding,Fielding
PD Collingwood (ENG),2003-2011,68,124,96,96,0,1,95,4 (4ct 0st),0.774,TEST,Fielding,Fielding
CH Gayle (WI),2000-2014,103,190,96,96,0,0,96,3 (3ct 0st),0.505,TEST,Fielding,Fielding
CG Greenidge (WI),1974-1991,108,208,96,96,0,0,96,3 (3ct 0st),0.461,TEST,Fielding,Fielding
KJ Wadsworth (NZ),1969-1976,33,59,96,92,4,92,0,5 (5ct 0st),1.6269999999999998,TEST,Fielding,Fielding
ME Trescothick (ENG),2000-2006,76,139,95,95,0,0,95,4 (4ct 0st),0.6829999999999999,TEST,Fielding,Fielding
HH Gibbs (SA),1996-2008,90,173,94,94,0,0,94,4 (4ct 0st),0.5429999999999999,TEST,Fielding,Fielding
Javed Miandad (PAK),1976-1993,124,218,94,93,1,0,93,3 (3ct 0st),0.431,TEST,Fielding,Fielding
Imtiaz Ahmed (PAK),1952-1962,41,69,93,77,16,74,3,5 (4ct 1st),1.347,TEST,Fielding,Fielding
AFA Lilley (ENG),1896-1909,35,67,92,70,22,70,0,4 (4ct 0st),1.3730000000000002,TEST,Fielding,Fielding
JM Anderson (ENG),2003-2019,150,284,91,91,0,0,91,3 (3ct 0st),0.32,TEST,Fielding,Fielding
V Sehwag (ICC/INDIA),2001-2013,104,192,91,91,0,0,91,3 (3ct 0st),0.473,TEST,Fielding,Fielding
FCM Alexander (WI),1957-1961,25,47,90,85,5,85,0,5 (5ct 0st),1.914,TEST,Fielding,Fielding
GA Hick (ENG),1991-2001,65,115,90,90,0,0,90,4 (4ct 0st),0.782,TEST,Fielding,Fielding
CH Lloyd (WI),1966-1985,110,209,90,90,0,0,90,2 (2ct 0st),0.43,TEST,Fielding,Fielding
RB Richardson (WI),1983-1995,86,164,90,90,0,0,90,3 (3ct 0st),0.5479999999999999,TEST,Fielding,Fielding
TM Dilshan (SL),1999-2013,87,159,88,88,0,11,77,4 (4ct 0st),0.5529999999999999,TEST,Fielding,Fielding
LD Chandimal (SL),2011-2019,55,102,87,77,10,62,15,6 (5ct 1st),0.852,TEST,Fielding,Fielding
AW Greig (ENG),1972-1977,58,107,87,87,0,0,87,4 (4ct 0st),0.813,TEST,Fielding,Fielding
Khaled Mashud (BDESH),2000-2007,44,61,87,78,9,78,0,4 (4ct 0st),1.426,TEST,Fielding,Fielding
MEK Hussey (AUS),2005-2013,79,153,85,85,0,0,85,3 (3ct 0st),0.555,TEST,Fielding,Fielding
MA Atherton (ENG),1989-2001,115,200,83,83,0,0,83,3 (3ct 0st),0.415,TEST,Fielding,Fielding
SO Dowrich (WI),2015-2019,31,54,83,78,5,78,0,4 (4ct 0st),1.537,TEST,Fielding,Fielding
G Kirsten (SA),1993-2004,101,191,83,83,0,0,83,4 (4ct 0st),0.434,TEST,Fielding,Fielding
IR Redpath (AUS),1964-1976,66,123,83,83,0,0,83,3 (3ct 0st),0.674,TEST,Fielding,Fielding
FM Engineer (INDIA),1961-1975,46,83,82,66,16,66,0,3 (3ct 0st),0.987,TEST,Fielding,Fielding
CO Browne (WI),1995-2005,20,36,81,79,2,79,0,5 (5ct 0st),2.25,TEST,Fielding,Fielding
Inzamam-ul-Haq (ICC/PAK),1992-2007,120,219,81,81,0,0,81,4 (4ct 0st),0.369,TEST,Fielding,Fielding
TW Graveney (ENG),1951-1969,79,152,80,80,0,2,78,3 (3ct 0st),0.526,TEST,Fielding,Fielding
V Kohli (INDIA),2011-2019,84,160,80,80,0,0,80,3 (3ct 0st),0.5,TEST,Fielding,Fielding
AM Rahane (INDIA),2013-2019,63,120,80,80,0,0,80,5 (5ct 0st),0.6659999999999999,TEST,Fielding,Fielding
MS Wade (AUS),2012-2019,31,60,80,69,11,63,6,5 (4ct 1st),1.3330000000000002,TEST,Fielding,Fielding
JC Buttler (ENG),2014-2019,38,72,79,79,0,56,23,5 (5ct 0st),1.097,TEST,Fielding,Fielding
ST Jayasuriya (SL),1991-2007,110,196,78,78,0,0,78,3 (3ct 0st),0.397,TEST,Fielding,Fielding
DB Vengsarkar (INDIA),1976-1992,116,202,78,78,0,0,78,4 (4ct 0st),0.386,TEST,Fielding,Fielding
Adnan Akmal (PAK),2010-2014,21,41,77,66,11,66,0,6 (6ct 0st),1.878,TEST,Fielding,Fielding
PR Downton (ENG),1981-1988,30,51,75,70,5,70,0,4 (4ct 0st),1.47,TEST,Fielding,Fielding
AJ Lamb (ENG),1982-1992,79,146,75,75,0,0,75,4 (4ct 0st),0.513,TEST,Fielding,Fielding
DI Gower (ENG),1978-1992,117,211,74,74,0,0,74,3 (3ct 0st),0.35,TEST,Fielding,Fielding
JL Langer (AUS),1993-2007,105,206,73,73,0,0,73,2 (2ct 0st),0.354,TEST,Fielding,Fielding
H Strudwick (ENG),1910-1926,28,50,73,61,12,61,0,4 (2ct 2st),1.46,TEST,Fielding,Fielding
M Muralitharan (ICC/SL),1992-2010,133,233,72,72,0,0,72,2 (2ct 0st),0.309,TEST,Fielding,Fielding
PA Patel (INDIA),2002-2018,25,47,72,62,10,62,0,4 (4ct 0st),1.531,TEST,Fielding,Fielding
SM Pollock (SA),1995-2008,108,205,72,72,0,0,72,3 (3ct 0st),0.351,TEST,Fielding,Fielding
Asad Shafiq (PAK),2010-2019,73,138,71,71,0,0,71,3 (3ct 0st),0.514,TEST,Fielding,Fielding
MD Crowe (NZ),1982-1995,77,130,71,71,0,0,71,4 (4ct 0st),0.546,TEST,Fielding,Fielding
SC Ganguly (INDIA),1996-2008,113,208,71,71,0,0,71,3 (3ct 0st),0.341,TEST,Fielding,Fielding
KS Williamson (NZ),2010-2019,78,147,71,71,0,0,71,3 (3ct 0st),0.482,TEST,Fielding,Fielding
NJ Astle (NZ),1996-2006,81,147,70,70,0,0,70,2 (2ct 0st),0.476,TEST,Fielding,Fielding
Majid Khan (PAK),1964-1983,63,116,70,70,0,5,65,4 (4ct 0st),0.603,TEST,Fielding,Fielding
DA Warner (AUS),2011-2019,83,160,68,68,0,1,67,4 (4ct 0st),0.425,TEST,Fielding,Fielding
DJ Cullinan (SA),1993-2001,70,130,67,67,0,0,67,3 (3ct 0st),0.515,TEST,Fielding,Fielding
N Hussain (ENG),1990-2004,96,165,67,67,0,0,67,3 (3ct 0st),0.406,TEST,Fielding,Fielding
S Chanderpaul (WI),1994-2015,164,297,66,66,0,0,66,2 (2ct 0st),0.222,TEST,Fielding,Fielding
AD Mathews (SL),2009-2019,84,152,66,66,0,0,66,3 (3ct 0st),0.434,TEST,Fielding,Fielding
R Benaud (AUS),1952-1964,63,122,65,65,0,0,65,3 (3ct 0st),0.532,TEST,Fielding,Fielding
H Carter (AUS),1907-1921,28,55,65,44,21,44,0,4 (4ct 0st),1.181,TEST,Fielding,Fielding
DL Haynes (WI),1978-1994,116,221,65,65,0,0,65,2 (2ct 0st),0.294,TEST,Fielding,Fielding
Mohammad Yousuf (PAK),1998-2010,90,168,65,65,0,0,65,3 (3ct 0st),0.386,TEST,Fielding,Fielding
Saleem Malik (PAK),1982-1999,103,184,65,65,0,0,65,3 (3ct 0st),0.353,TEST,Fielding,Fielding
DJG Sammy (WI),2007-2013,38,68,65,65,0,0,65,5 (5ct 0st),0.955,TEST,Fielding,Fielding
JV Coney (NZ),1974-1987,52,97,64,64,0,0,64,3 (3ct 0st),0.659,TEST,Fielding,Fielding
RN Harvey (AUS),1948-1963,79,152,64,64,0,0,64,4 (4ct 0st),0.421,TEST,Fielding,Fielding
N Kapil Dev (INDIA),1978-1994,131,230,64,64,0,0,64,2 (2ct 0st),0.278,TEST,Fielding,Fielding
FS Trueman (ENG),1952-1965,67,128,64,64,0,0,64,3 (3ct 0st),0.5,TEST,Fielding,Fielding
CL Walcott (WI),1948-1960,44,82,64,53,11,27,26,4 (3ct 1st),0.78,TEST,Fielding,Fielding
FE Woolley (ENG),1909-1934,64,113,64,64,0,1,63,4 (4ct 0st),0.5660000000000001,TEST,Fielding,Fielding
KD Karthik (INDIA),2004-2018,26,49,63,57,6,51,6,4 (4ct 0st),1.285,TEST,Fielding,Fielding
JJ Kelly (AUS),1896-1905,36,67,63,43,20,43,0,4 (4ct 0st),0.94,TEST,Fielding,Fielding
BKG Mendis (SL),2015-2019,42,76,63,63,0,5,58,4 (4ct 0st),0.828,TEST,Fielding,Fielding
PM Nevill (AUS),2015-2016,17,31,63,61,2,61,0,4 (4ct 0st),2.032,TEST,Fielding,Fielding
GR Viswanath (INDIA),1969-1983,91,159,63,63,0,0,63,3 (3ct 0st),0.396,TEST,Fielding,Fielding
D Elgar (SA),2012-2019,60,111,62,62,0,0,62,2 (2ct 0st),0.5579999999999999,TEST,Fielding,Fielding
RC Fredericks (WI),1968-1977,59,112,62,62,0,0,62,4 (4ct 0st),0.5529999999999999,TEST,Fielding,Fielding
DA Murray (WI),1978-1982,19,34,62,57,5,57,0,5 (5ct 0st),1.823,TEST,Fielding,Fielding
KP Pietersen (ENG),2005-2014,104,193,62,62,0,0,62,3 (3ct 0st),0.321,TEST,Fielding,Fielding
BA Stokes (ENG),2013-2019,60,114,62,62,0,0,62,3 (3ct 0st),0.5429999999999999,TEST,Fielding,Fielding
T Taibu (ZIM),2001-2012,28,42,62,57,5,55,2,4 (4ct 0st),1.476,TEST,Fielding,Fielding
Azhar Ali (PAK),2010-2019,77,145,61,61,0,0,61,3 (3ct 0st),0.42,TEST,Fielding,Fielding
JM Blackham (AUS),1877-1894,35,62,61,37,24,35,2,4 (2ct 2st),0.983,TEST,Fielding,Fielding
MA Butcher (ENG),1997-2004,71,122,61,61,0,0,61,3 (3ct 0st),0.5,TEST,Fielding,Fielding
ADR Campbell (ZIM),1992-2002,60,105,60,60,0,0,60,3 (3ct 0st),0.5710000000000001,TEST,Fielding,Fielding
G Duckworth (ENG),1924-1936,24,43,60,45,15,45,0,4 (4ct 0st),1.395,TEST,Fielding,Fielding
A Kumble (INDIA),1990-2008,132,242,60,60,0,0,60,2 (2ct 0st),0.247,TEST,Fielding,Fielding
W Rhodes (ENG),1899-1930,58,110,60,60,0,0,60,4 (4ct 0st),0.545,TEST,Fielding,Fielding
HB Taber (AUS),1966-1970,16,30,60,56,4,56,0,5 (5ct 0st),2.0,TEST,Fielding,Fielding
MW Gatting (ENG),1978-1995,79,135,59,59,0,0,59,3 (3ct 0st),0.437,TEST,Fielding,Fielding
WK Lees (NZ),1976-1983,21,42,59,52,7,52,0,5 (5ct 0st),1.404,TEST,Fielding,Fielding
DT Lindsay (SA),1963-1970,19,36,59,57,2,54,3,6 (6ct 0st),1.638,TEST,Fielding,Fielding
GAR Lock (ENG),1952-1968,49,93,59,59,0,0,59,3 (3ct 0st),0.634,TEST,Fielding,Fielding
MS Atapattu (SL),1990-2007,90,159,58,58,0,0,58,3 (3ct 0st),0.364,TEST,Fielding,Fielding
KF Barrington (ENG),1955-1968,82,153,58,58,0,0,58,3 (3ct 0st),0.379,TEST,Fielding,Fielding
D Tallon (AUS),1946-1953,21,42,58,50,8,50,0,4 (4ct 0st),1.38,TEST,Fielding,Fielding
DL Vettori (ICC/NZ),1997-2014,113,205,58,58,0,0,58,3 (3ct 0st),0.282,TEST,Fielding,Fielding
L Hutton (ENG),1937-1955,79,147,57,57,0,0,57,3 (3ct 0st),0.387,TEST,Fielding,Fielding
AL Logie (WI),1983-1991,52,98,57,57,0,0,57,4 (4ct 0st),0.581,TEST,Fielding,Fielding
F du Plessis (SA),2012-2019,62,115,56,56,0,0,56,3 (3ct 0st),0.486,TEST,Fielding,Fielding
RS Mahanama (SL),1986-1998,52,81,56,56,0,0,56,4 (4ct 0st),0.691,TEST,Fielding,Fielding
B Mitchell (SA),1929-1949,42,71,56,56,0,0,56,4 (4ct 0st),0.7879999999999999,TEST,Fielding,Fielding
JT Murray (ENG),1961-1967,21,38,55,52,3,52,0,6 (6ct 0st),1.4469999999999998,TEST,Fielding,Fielding
KWR Fletcher (ENG),1968-1982,59,106,54,54,0,0,54,3 (3ct 0st),0.509,TEST,Fielding,Fielding
BN Jarman (AUS),1959-1969,19,36,54,50,4,50,0,4 (4ct 0st),1.5,TEST,Fielding,Fielding
ND McKenzie (SA),2000-2009,58,111,54,54,0,0,54,3 (3ct 0st),0.486,TEST,Fielding,Fielding
CMW Read (ENG),1999-2007,15,26,54,48,6,48,0,6 (6ct 0st),2.076,TEST,Fielding,Fielding
GP Swann (ENG),2008-2013,60,113,54,54,0,0,54,3 (3ct 0st),0.477,TEST,Fielding,Fielding
BA Young (NZ),1993-1999,35,58,54,54,0,0,54,3 (3ct 0st),0.931,TEST,Fielding,Fielding
RR Pant (INDIA),2018-2019,11,22,53,51,2,51,0,6 (6ct 0st),2.4090000000000003,TEST,Fielding,Fielding
RR Sarwan (WI),2000-2011,87,162,53,53,0,0,53,2 (2ct 0st),0.327,TEST,Fielding,Fielding
MJK Smith (ENG),1958-1972,50,91,53,53,0,0,53,3 (3ct 0st),0.5820000000000001,TEST,Fielding,Fielding
ED Solkar (INDIA),1969-1977,27,50,53,53,0,0,53,4 (4ct 0st),1.06,TEST,Fielding,Fielding
JM Brearley (ENG),1976-1981,39,75,52,52,0,0,52,3 (3ct 0st),0.693,TEST,Fielding,Fielding
A Flintoff (ENG/ICC),1998-2009,79,144,52,52,0,0,52,3 (3ct 0st),0.361,TEST,Fielding,Fielding
LR Gibbs (WI),1958-1976,79,151,52,52,0,0,52,3 (3ct 0st),0.344,TEST,Fielding,Fielding
WB Phillips (AUS),1983-1986,27,43,52,52,0,43,9,5 (5ct 0st),1.209,TEST,Fielding,Fielding
TG Southee (NZ),2008-2019,71,135,52,52,0,0,52,2 (2ct 0st),0.385,TEST,Fielding,Fielding
RP Arnold (SL),1997-2004,44,77,51,51,0,0,51,4 (4ct 0st),0.662,TEST,Fielding,Fielding
DM Bravo (WI),2010-2019,54,94,51,51,0,0,51,5 (5ct 0st),0.542,TEST,Fielding,Fielding
HB Cameron (SA),1927-1935,26,45,51,39,12,39,0,4 (2ct 2st),1.133,TEST,Fielding,Fielding
AE Dick (NZ),1961-1965,17,30,51,47,4,47,0,4 (4ct 0st),1.7,TEST,Fielding,Fielding
AI Kallicharran (WI),1972-1981,66,124,51,51,0,0,51,2 (2ct 0st),0.411,TEST,Fielding,Fielding
NS Tamhane (INDIA),1955-1961,21,35,51,35,16,35,0,4 (4ct 0st),1.457,TEST,Fielding,Fielding
MJ Guptill (NZ),2009-2016,47,88,50,50,0,0,50,3 (3ct 0st),0.568,TEST,Fielding,Fielding
KJ Hughes (AUS),1977-1984,70,126,50,50,0,0,50,3 (3ct 0st),0.396,TEST,Fielding,Fielding
RB Kanhai (WI),1957-1974,79,147,50,50,0,6,44,3 (3ct 0st),0.34,TEST,Fielding,Fielding
FDM Karunaratne (SL),2012-2019,64,118,50,50,0,0,50,3 (3ct 0st),0.423,TEST,Fielding,Fielding
Misbah-ul-Haq (PAK),2001-2017,75,143,50,50,0,0,50,3 (3ct 0st),0.349,TEST,Fielding,Fielding
CA Pujara (INDIA),2010-2019,75,144,50,50,0,0,50,3 (3ct 0st),0.347,TEST,Fielding,Fielding
DCS Compton (ENG),1937-1957,78,146,49,49,0,0,49,2 (2ct 0st),0.335,TEST,Fielding,Fielding
BM McMillan (SA),1992-1998,38,70,49,49,0,0,49,3 (3ct 0st),0.7,TEST,Fielding,Fielding
SJ Rhodes (ENG),1994-1995,11,22,49,46,3,46,0,4 (4ct 0st),2.227,TEST,Fielding,Fielding
M Vijay (INDIA),2008-2018,61,115,49,49,0,0,49,2 (2ct 0st),0.426,TEST,Fielding,Fielding
ED Weekes (WI),1948-1958,48,90,49,49,0,0,49,4 (4ct 0st),0.544,TEST,Fielding,Fielding
JC Adams (WI),1992-2001,54,99,48,48,0,0,48,4 (4ct 0st),0.484,TEST,Fielding,Fielding
CS Baugh (WI),2003-2012,21,38,48,43,5,43,0,5 (4ct 1st),1.263,TEST,Fielding,Fielding
TL Goddard (SA),1955-1970,41,77,48,48,0,0,48,4 (4ct 0st),0.623,TEST,Fielding,Fielding
TWM Latham (NZ),2014-2019,49,94,48,48,0,7,41,3 (3ct 0st),0.51,TEST,Fielding,Fielding
Mudassar Nazar (PAK),1976-1989,76,133,48,48,0,0,48,2 (2ct 0st),0.36,TEST,Fielding,Fielding
Taufeeq Umar (PAK),2001-2014,44,83,48,48,0,4,44,4 (4ct 0st),0.578,TEST,Fielding,Fielding
M Amarnath (INDIA),1969-1988,69,115,47,47,0,0,47,3 (3ct 0st),0.408,TEST,Fielding,Fielding
SL Campbell (WI),1995-2002,52,92,47,47,0,0,47,3 (3ct 0st),0.51,TEST,Fielding,Fielding
JL Hendriks (WI),1962-1969,20,37,47,42,5,42,0,4 (2ct 2st),1.27,TEST,Fielding,Fielding
NM Lyon (AUS),2011-2019,95,184,47,47,0,0,47,2 (2ct 0st),0.255,TEST,Fielding,Fielding
AG Prince (SA),2002-2011,66,124,47,47,0,0,47,3 (3ct 0st),0.379,TEST,Fielding,Fielding
A Ranatunga (SL),1982-2000,93,148,47,47,0,0,47,3 (3ct 0st),0.317,TEST,Fielding,Fielding
